
Chat History
Type,IM Content Type,Time,From Name,Caller,From EID,To Name,Callee,To EID,Call Duration,Message
system,,2025-12-23 13:12:39 (UTC+00:00)," customer","=""""",WxlwFGLk.2veJJRyUV2Jq.4f8e.05000000.uMvm-kP7_S-o8qLL," customer","=""""",,0,enquiry.visitor.activated
im,TYPE_PRECHAT,2025-12-23 13:12:39 (UTC+00:00)," customer","=""""",WxlwFGLk.dLC5fQvnLtWE.80bf.05000000.oNiaVYtxlKV9FGpF," customer","=""""",,0,
system,,2025-12-23 13:12:39 (UTC+00:00)," customer","=""""",dcd2a966-bbc1-47eb-bef4-07cad06541f3@prod-hk-02@1001," customer","=""""",,0,room.pci-disclaimer
im,TYPE_TEXT,2025-12-23 13:12:48 (UTC+00:00)," customer","=""""",WxlwFGLk.2veJJRyUV2Jq.4f8e.05000000.uMvm-kP7_S-o8qLL," customer","=""""",,0,Hi
system,,2025-12-23 13:13:03 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," customer","=""""",,0,room.join
im,TYPE_TEXT,2025-12-23 13:13:07 (UTC+00:00)," customer","=""""",WxlwFGLk.2veJJRyUV2Jq.4f8e.05000000.uMvm-kP7_S-o8qLL,Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s,0,When can i expect my singapore virtual number? Its been 2-3 days i am still waiting
im,TYPE_TEXT,2025-12-23 13:13:32 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," customer","=""""",WxlwFGLk.2veJJRyUV2Jq.4f8e.05000000.uMvm-kP7_S-o8qLL,0,one moment please
im,TYPE_TEXT,2025-12-23 13:15:35 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," customer","=""""",WxlwFGLk.2veJJRyUV2Jq.4f8e.05000000.uMvm-kP7_S-o8qLL,0,"The responsible colleagues is having lunch.  I will get back to you ASAP.
Would you mind to be waiting online?"
im,TYPE_TEXT,2025-12-23 13:16:08 (UTC+00:00)," customer","=""""",WxlwFGLk.2veJJRyUV2Jq.4f8e.05000000.uMvm-kP7_S-o8qLL,Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s,0,ok waiting
im,TYPE_TEXT,2025-12-23 13:16:18 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," customer","=""""",WxlwFGLk.2veJJRyUV2Jq.4f8e.05000000.uMvm-kP7_S-o8qLL,0,thanks
