
Chat History
Type,IM Content Type,Time,From Name,Caller,From EID,To Name,Callee,To EID,Call Duration,Message
system,,2026-02-06 12:21:35 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g," Primeinfo.cinnox.com","=""""",,0,enquiry.visitor.activated
im,TYPE_PRECHAT,2026-02-06 12:21:35 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.dLC5fQvnLtWE.80bf.05000000.oNiaVYtxlKV9FGpF," Primeinfo.cinnox.com","=""""",,0,
system,,2026-02-06 12:21:35 (UTC+00:00)," Primeinfo.cinnox.com","=""""",e14cdf29-1e37-4a2b-826f-a4eebb48677f@prod-hk-02@1001," Primeinfo.cinnox.com","=""""",,0,room.pci-disclaimer
im,TYPE_TEXT,2026-02-06 12:21:38 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g," Primeinfo.cinnox.com","=""""",,0,Hi
im,TYPE_TEXT,2026-02-06 12:21:47 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g," Primeinfo.cinnox.com","=""""",,0,Again the same problem as yesterday
system,,2026-02-06 12:21:50 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," Primeinfo.cinnox.com","=""""",,0,room.join
im,TYPE_TEXT,2026-02-06 12:22:06 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA,0,You are making loss for me
im,TYPE_TEXT,2026-02-06 12:22:26 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,did the other PSTN ring when there's incoming calls?
im,TYPE_TEXT,2026-02-06 12:23:23 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,just a moment
im,TYPE_TEXT,2026-02-06 12:24:53 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA,0,The enquiries which are open I want them transferred to pstn now fast
