
Chat History
Type,IM Content Type,Time,From Name,Caller,From EID,To Name,Callee,To EID,Call Duration,Message
system,,2025-11-17 20:25:59 (UTC+00:00)," customer","=""""",WxlwFGLk._RTLGFVoFenC.b437.05000000.yjRMw_8JJybFW5ig," customer","=""""",,0,enquiry.visitor.activated
im,TYPE_PRECHAT,2025-11-17 20:25:59 (UTC+00:00)," customer","=""""",WxlwFGLk.dLC5fQvnLtWE.80bf.05000000.oNiaVYtxlKV9FGpF," customer","=""""",,0,
system,,2025-11-17 20:25:59 (UTC+00:00)," customer","=""""",8918770c-7723-442c-b41e-2b3a2095e358@prod-hk-02@1001," customer","=""""",,0,room.pci-disclaimer
system,,2025-11-17 20:26:25 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," customer","=""""",,0,room.join
im,TYPE_TEXT,2025-11-17 20:26:38 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," customer","=""""",WxlwFGLk._RTLGFVoFenC.b437.05000000.yjRMw_8JJybFW5ig,0,"Hi, anything I can help you with?"
im,TYPE_TEXT,2025-11-17 20:28:14 (UTC+00:00)," customer","=""""",WxlwFGLk._RTLGFVoFenC.b437.05000000.yjRMw_8JJybFW5ig,Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA,0,hello
im,TYPE_TEXT,2025-11-17 20:28:40 (UTC+00:00)," customer","=""""",WxlwFGLk._RTLGFVoFenC.b437.05000000.yjRMw_8JJybFW5ig,Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA,0,"Ive been speaking with you several days ago about the verification of my account but still, nothing has happened"
im,TYPE_TEXT,2025-11-17 20:31:31 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," customer","=""""",WxlwFGLk._RTLGFVoFenC.b437.05000000.yjRMw_8JJybFW5ig,0,"the company doc has been declined

Reason: The docs proof address didn't match BR, so please kindly provide the proof of Company Address (A recent utility bill, bank statement, or service bill verifying your business location)"
im,TYPE_TEXT,2025-11-17 20:34:10 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," customer","=""""",WxlwFGLk._RTLGFVoFenC.b437.05000000.yjRMw_8JJybFW5ig,0,you can upload the doc again here in CINNOX
im,TYPE_FILE,2025-11-17 20:34:12 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," customer","=""""",WxlwFGLk._RTLGFVoFenC.b437.05000000.yjRMw_8JJybFW5ig,0,
