
Chat History
Type,IM Content Type,Time,From Name,Caller,From EID,To Name,Callee,To EID,Call Duration,Message
system,,2025-12-11 07:14:12 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g," Primeinfo.cinnox.com","=""""",,0,enquiry.visitor.activated
im,TYPE_PRECHAT,2025-12-11 07:14:13 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.dLC5fQvnLtWE.80bf.05000000.oNiaVYtxlKV9FGpF," Primeinfo.cinnox.com","=""""",,0,
system,,2025-12-11 07:14:13 (UTC+00:00)," Primeinfo.cinnox.com","=""""",e14cdf29-1e37-4a2b-826f-a4eebb48677f@prod-hk-02@1001," Primeinfo.cinnox.com","=""""",,0,room.pci-disclaimer
system,,2025-12-11 07:14:26 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",,0,room.join
im,TYPE_TEXT,2025-12-11 07:14:35 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,How can I help you?
im,TYPE_TEXT,2025-12-11 07:14:50 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s,0,Hi plz test my NZ number it's not working pls fix +64800453593
im,TYPE_TEXT,2025-12-11 07:15:06 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,one moment
im,TYPE_TEXT,2025-12-11 07:18:44 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s,0,None of my numbers are working
im,TYPE_TEXT,2025-12-11 07:19:08 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s,0,Send me test call number pls
im,TYPE_TEXT,2025-12-11 07:19:38 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,one moment
im,TYPE_TEXT,2025-12-11 07:20:17 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,calling number 64273104631
im,TYPE_TEXT,2025-12-11 07:20:39 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s,0,Ok thanks
im,TYPE_TEXT,2025-12-11 07:22:31 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,The call has reached Cinnox platform.  Seems no agent answer the call.
im,TYPE_TEXT,2025-12-11 07:24:31 (UTC+00:00)," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s,0,No you disconnected the call early
im,TYPE_TEXT,2025-12-11 07:25:04 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,we use machine to simulate New Zealand local call and only can hold around 16 seconds.
im,TYPE_TEXT,2025-12-11 07:25:50 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",WxlwFGLk.vV-IALvniV8L.426c.05000000.OdWuuft2RUUSQR_g,0,"Anyway, the number 0800453593 looks good."
system,,2025-12-11 08:01:28 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",,0,room.leave
system,,2025-12-11 08:01:28 (UTC+00:00),Raymond Shiu,"=""""",WxlwFGLk.XLJIC0rESp9u.e0a4.05000000.cm8s3iezVIoTFh8s," Primeinfo.cinnox.com","=""""",,0,enquiry.terminate
Enquiry Information
Enquiry Type,Source,Tag,Enquiry Initiate Time,Location,Language
Broadcast Chat Enquiry,Desktop Web,Onboarding Live Support,2025-12-11 07:14:12 (UTC+00:00),"Jaipur, IN",English
Visitor Profile
First Name,Last Name,Email,Mobile Number
N/A,Primeinfo.cinnox.com,N/A,N/A
