
Chat History
Type,IM Content Type,Time,From Name,Caller,From EID,To Name,Callee,To EID,Call Duration,Message
system,,2025-12-17 14:46:18 (UTC+00:00)," customer","=""""",WxlwFGLk.9uZjnvhaBSy8.3be8.05000000.ib33p3af5brolyDz," customer","=""""",,0,enquiry.visitor.activated
im,TYPE_PRECHAT,2025-12-17 14:46:18 (UTC+00:00)," customer","=""""",WxlwFGLk.dLC5fQvnLtWE.80bf.05000000.oNiaVYtxlKV9FGpF," customer","=""""",,0,
system,,2025-12-17 14:46:18 (UTC+00:00)," customer","=""""",e5306fc4-4139-4eec-a75c-44775fa5bc95@prod-hk-02@1001," customer","=""""",,0,room.pci-disclaimer
system,,2025-12-17 14:46:23 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," customer","=""""",,0,room.join
im,TYPE_TEXT,2025-12-17 14:46:30 (UTC+00:00)," customer","=""""",WxlwFGLk.9uZjnvhaBSy8.3be8.05000000.ib33p3af5brolyDz,Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA,0,can I chat with Gina
im,TYPE_TEXT,2025-12-17 14:46:33 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," customer","=""""",WxlwFGLk.9uZjnvhaBSy8.3be8.05000000.ib33p3af5brolyDz,0,Sure
system,,2025-12-17 14:46:53 (UTC+00:00),Sandy Fan,"=""""",WxlwFGLk.YWeCuUT08PuU.e248.05000000.sATu_m6zWxaHLdwA," customer","=""""",,0,room.leave
system,,2025-12-17 14:46:53 (UTC+00:00),Gina Wong,"=""""",WxlwFGLk.ekubY4JxRKGa.8e0e.05000000.cWR5MJZ1mFDy_BB1," customer","=""""",,0,room.join
system,,2025-12-17 14:46:53 (UTC+00:00)," customer","=""""",WxlwFGLk.9uZjnvhaBSy8.3be8.05000000.ib33p3af5brolyDz," customer","=""""",,0,enquiry.transfer.picked.up
im,TYPE_TEXT,2025-12-17 14:47:12 (UTC+00:00),Gina Wong,"=""""",WxlwFGLk.ekubY4JxRKGa.8e0e.05000000.cWR5MJZ1mFDy_BB1," customer","=""""",WxlwFGLk.9uZjnvhaBSy8.3be8.05000000.ib33p3af5brolyDz,0,"hi, I am Gina. How can I help you?"
im,TYPE_TEXT,2025-12-19 18:37:14 (UTC+00:00)," customer","=""""",WxlwFGLk.9uZjnvhaBSy8.3be8.05000000.ib33p3af5brolyDz,Gina Wong,"=""""",WxlwFGLk.ekubY4JxRKGa.8e0e.05000000.cWR5MJZ1mFDy_BB1,0,hi Giba
im,TYPE_TEXT,2025-12-19 18:37:21 (UTC+00:00)," customer","=""""",WxlwFGLk.9uZjnvhaBSy8.3be8.05000000.ib33p3af5brolyDz,Gina Wong,"=""""",WxlwFGLk.ekubY4JxRKGa.8e0e.05000000.cWR5MJZ1mFDy_BB1,0,Gina*
im,TYPE_TEXT,2025-12-19 18:37:29 (UTC+00:00),Gina Wong,"=""""",WxlwFGLk.ekubY4JxRKGa.8e0e.05000000.cWR5MJZ1mFDy_BB1," customer","=""""",WxlwFGLk.9uZjnvhaBSy8.3be8.05000000.ib33p3af5brolyDz,0,Hi
